1 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Income Statement | 7 | 1 | Income Statement Whereas | Income Statement Whereas the balance sheet shows a company’s | 2 | 1 | 0 | 
3745 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 2 — ManagementKey Employee Assessment | 87 | 8 | 32. Is the company under | 32. Is the company under pressure to  sell or merge with ano | 0 | 1 | 0 | 
3746 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 2 — ManagementKey Employee Assessment | 87 | 8 | 33. Does the company chan | 33. Does the company change auditors often? A frequent chang | 0 | 0 | 0 | 
3747 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 2 — ManagementKey Employee Assessment | 87 | 8 | 34. Does the company dela | 34. Does the company delay or avoid supplying auditors with  | 0 | 1 | 0 | 
3748 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 2 — ManagementKey Employee Assessment | 87 | 8 | Fraud Risk Assessment  Fr | Fraud Risk Assessment  Fraud Prevention and Deterrence 4.838 | 0 | 1 | 0 | 
3749 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 2 — ManagementKey Employee Assessment | 87 | 8 | 36. Does the company have | 36. Does the company have poor accounting records? The compa | 0 | 0 | 0 | 
3750 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 2 — ManagementKey Employee Assessment | 87 | 8 | 37. Does the accounting d | 37. Does the accounting department appear to be inadequately | 0 | 1 | 0 | 
3751 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 2 — ManagementKey Employee Assessment | 87 | 8 | 38. Does the organization | 38. Does the organization fail to disclose questionable or u | 0 | 1 | 0 | 
3752 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 2 — ManagementKey Employee Assessment | 87 | 8 | 39. Does the company have | 39. Does the company have a number of la rge year-end or unu | 0 | 0 | 0 | 
3753 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 2 — ManagementKey Employee Assessment | 87 | 8 | 40. Does the organization | 40. Does the organization lack an adequate internal audit st | 0 | 0 | 0 | 
3754 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 2 — ManagementKey Employee Assessment | 87 | 8 | 41. Does the organization | 41. Does the organization lack an internal control syst em,  | 1 | 1 | 0 | 
3755 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 15 — Fraudulent Financial Reports | 100 | 9 | MODULE # 15 — Fraudulent | MODULE # 15 — Fraudulent Financial Reports  • Fictitious rev | 0 | 1 | 0 | 
3756 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 15 — Fraudulent Financial Reports | 100 | 9 | 1. Are the organization’s | 1. Are the organization’s accounting records in proper form? | 0 | 1 | 0 | 
3757 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 15 — Fraudulent Financial Reports | 100 | 9 | 2. Does the organization | 2. Does the organization employ an adequate number of accoun | 0 | 1 | 0 | 
3758 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 15 — Fraudulent Financial Reports | 100 | 9 | 3. Does the organization | 3. Does the organization have an effective internal audit st | 2 | 1 | 0 | 
3759 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 15 — Fraudulent Financial Reports | 100 | 9 | 4. Are proper internal co | 4. Are proper internal controls established and maintained?  | 1 | 1 | 0 | 
3760 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 15 — Fraudulent Financial Reports | 100 | 9 | 5. Does the organization | 5. Does the organization embrace the concept of internal con | 1 | 2 | 0 | 
3761 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 15 — Fraudulent Financial Reports | 100 | 9 | 6. Are senior managers vi | 6. Are senior managers visible in their support of internal  | 1 | 1 | 0 | 
3762 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 15 — Fraudulent Financial Reports | 100 | 9 | 7. Are the organization’s | 7. Are the organization’s financial goals and objectives rea | 0 | 1 | 0 | 
3763 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 15 — Fraudulent Financial Reports | 100 | 9 | 8. Does the organization | 8. Does the organization consistently achieve its financial  | 0 | 1 | 0 | 
3764 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 15 — Fraudulent Financial Reports | 100 | 9 | Fraud Prevention and Dete | Fraud Prevention and Deterrence  Fraud Risk Assessment 2011  | 0 | 0 | 0 | 
3765 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 15 — Fraudulent Financial Reports | 100 | 9 | 10. Does the company have | 10. Does the company have stable relationships with its bank | 0 | 1 | 0 | 
3766 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 15 — Fraudulent Financial Reports | 100 | 9 | 11. Are there unrealistic | 11. Are there unrealistic changes or increases in financial  | 0 | 1 | 0 | 
3767 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 15 — Fraudulent Financial Reports | 100 | 9 | 12. Are the account balan | 12. Are the account balances realistic given the nature, age | 0 | 1 | 0 | 
3768 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 15 — Fraudulent Financial Reports | 100 | 9 | 13. Do actual physical as | 13. Do actual physical assets exist in the amounts and value | 0 | 1 | 0 | 
3769 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 15 — Fraudulent Financial Reports | 100 | 9 | 14. Have there been signi | 14. Have there been significant changes in the nature of the | 0 | 0 | 0 | 
3770 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 15 — Fraudulent Financial Reports | 100 | 9 | 15. Do one or a few large | 15. Do one or a few large transactions account for a si gnif | 0 | 0 | 0 | 
3771 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 15 — Fraudulent Financial Reports | 100 | 9 | 16. Are there significant | 16. Are there significant transactions that occur near the e | 0 | 1 | 0 | 
3772 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 15 — Fraudulent Financial Reports | 100 | 9 | 17. Are financial results | 17. Are financial results fairly consistent across periods?  | 0 | 1 | 0 | 
3773 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 15 — Fraudulent Financial Reports | 100 | 9 | Fraud Risk Assessment  Fr | Fraud Risk Assessment  Fraud Prevention and Deterrence 4.868 | 0 | 1 | 0 | 
3774 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 15 — Fraudulent Financial Reports | 100 | 9 | 19. Is there significant | 19. Is there significant pressure to obtain additional capit | 0 | 1 | 0 | 
3775 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 15 — Fraudulent Financial Reports | 100 | 9 | 20. Are reported assets, | 20. Are reported assets, liabilities, revenues, or expenses  | 0 | 1 | 0 | 
3776 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 15 — Fraudulent Financial Reports | 100 | 9 | 21. Are reported assets, | 21. Are reported assets, liabilities, revenues, or expenses  | 0 | 1 | 0 | 
3777 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 15 — Fraudulent Financial Reports | 100 | 9 | 22. Is the company experi | 22. Is the company experiencing unusual ly rapid growth or p | 0 | 1 | 0 | 
3778 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 15 — Fraudulent Financial Reports | 100 | 9 | 23. Is the organization h | 23. Is the organization highly vulner able to changes in int | 0 | 1 | 0 | 
3779 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 15 — Fraudulent Financial Reports | 100 | 9 | 24. Are there unrealistic | 24. Are there unrealistically aggressive sa les or profitabi | 0 | 1 | 0 | 
3780 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 15 — Fraudulent Financial Reports | 100 | 9 | 25. Is there a threat of | 25. Is there a threat of imminent bankruptcy, foreclosure, o | 0 | 1 | 0 | 
3781 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 15 — Fraudulent Financial Reports | 100 | 9 | 27. Is there a poor or de | 27. Is there a poor or deteriorating financial position when | 1 | 1 | 0 | 
3782 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 15 — Fraudulent Financial Reports | 100 | 9 | 28. Does the firm continu | 28. Does the firm continuously operate on a crisis basis or  | 0 | 1 | 0 | 
3783 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 15 — Fraudulent Financial Reports | 100 | 9 | 29. Does the organization | 29. Does the organization have difficulty collecting receiva | 0 | 0 | 0 | 
3784 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 15 — Fraudulent Financial Reports | 100 | 9 | 30. Is the organization d | 30. Is the organization dependent on one or two key products | 0 | 1 | 0 | 
3785 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 15 — Fraudulent Financial Reports | 100 | 9 | 31. Do the footnotes cont | 31. Do the footnotes contain information about complex issue | 0 | 0 | 0 | 
3786 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 15 — Fraudulent Financial Reports | 100 | 9 | 32. Are  there adequate d | 32. Are  there adequate disclosures in the financials and fo | 0 | 1 | 0 | 
3787 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 15 — Fraudulent Financial Reports | 100 | 9 | Fraud Prevention and Dete | Fraud Prevention and Deterrence  Ethics for Fraud Examiners  | 0 | 0 | 0 | 
3788 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 6 — Check Tampering Schemes | 91 | 10 | MODULE # 6 — Check Tamper | MODULE # 6 — Check Tampering Schemes  • Forged maker schemes | 0 | 1 | 0 | 
3789 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 6 — Check Tampering Schemes | 91 | 10 | 2. Are unused checks from | 2. Are unused checks from accounts that  have been closed pr | 0 | 1 | 0 | 
3790 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 6 — Check Tampering Schemes | 91 | 10 | 3. Are electronic payment | 3. Are electronic payments used where possible to limit the  | 0 | 1 | 0 | 
3791 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 6 — Check Tampering Schemes | 91 | 10 | 5. Are new checks purchas | 5. Are new checks purchased from reputable check vendors? Al | 0 | 1 | 0 | 
3792 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 6 — Check Tampering Schemes | 91 | 10 | 6. Do company checks cont | 6. Do company checks contain security features to ensure the | 0 | 1 | 0 | 
3793 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 6 — Check Tampering Schemes | 91 | 10 | 7. Has the company notifi | 7. Has the company notified its bank to not accept checks ov | 1 | 1 | 0 | 
3794 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 6 — Check Tampering Schemes | 91 | 10 | 8. Has the company establ | 8. Has the company established positive pay controls with it | 2 | 1 | 0 | 
3795 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 6 — Check Tampering Schemes | 91 | 10 | 9. Is the employee who pr | 9. Is the employee who prepares the check prohibited from si | 0 | 1 | 0 | 
3796 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 6 — Check Tampering Schemes | 91 | 10 | 10. Are detailed comparis | 10. Are detailed comparisons made between the payees  on the | 0 | 1 | 0 | 
3797 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 6 — Check Tampering Schemes | 91 | 10 | 11. Are employees respons | 11. Are employees responsible for handling and coding checks | 0 | 1 | 0 | 
3798 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 6 — Check Tampering Schemes | 91 | 10 | Fraud Risk Assessment  Fr | Fraud Risk Assessment  Fraud Prevention and Deterrence 4.848 | 0 | 1 | 0 | 
3799 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 6 — Check Tampering Schemes | 91 | 10 | 13. Are bank statements a | 13. Are bank statements and account reconciliations independ | 0 | 1 | 0 | 
3800 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 6 — Check Tampering Schemes | 91 | 10 | 14. Are cancelled checks | 14. Are cancelled checks independently reviewed for alterati | 0 | 1 | 0 | 
3801 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 6 — Check Tampering Schemes | 91 | 10 | 15. Are checks for a mate | 15. Are checks for a material amount matched to the supporti | 0 | 1 | 0 | 
3802 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 6 — Check Tampering Schemes | 91 | 10 | 16. Are voided checks exa | 16. Are voided checks examined for irregularities and to ens | 0 | 1 | 0 | 
3803 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 6 — Check Tampering Schemes | 91 | 10 | 17. Are missing checks re | 17. Are missing checks recorded and stop payments issued? Mi | 1 | 1 | 0 | 
3804 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 6 — Check Tampering Schemes | 91 | 10 | 18. Do questionable payee | 18. Do questionable payees or payee ad dresses trigger revie | 0 | 0 | 0 | 
3805 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 6 — Check Tampering Schemes | 91 | 10 | 19. With the exception of | 19. With the exception of payroll, are checks issued to empl | 0 | 1 | 0 | 
3806 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 6 — Check Tampering Schemes | 91 | 10 | 20. Are two signatures re | 20. Are two signatures required for check issuance? Requirin | 0 | 1 | 0 | 
3807 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 6 — Check Tampering Schemes | 91 | 10 | Fraud Prevention and Dete | Fraud Prevention and Deterrence  Fraud Risk Assessment 2011  | 0 | 1 | 0 | 
3808 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 6 — Check Tampering Schemes | 91 | 10 | 22. Are handwritten check | 22. Are handwritten checks prohibited?  Handwritten checks a | 0 | 1 | 0 | 
3809 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | Identify and Map Existing Preventive and Detective Controls to the Relevant Fraud Risks | 52 | 11 | Identify and Map Existing | Identify and Map Existing Preventive and Detective Controls  | 2 | 1 | 0 | 
3810 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | Sample Fraud Risk Assessment Framework #1 | 38 | 12 | Sample Fraud Risk Assessm | Sample Fraud Risk Assessment Framework #1 1  Using this fram | 2 | 2 | 0 | 
3811 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | Sample Fraud Risk Assessment Framework #1 | 38 | 12 | 1 This framework is based | 1 This framework is based on information contained in Managi | 1 | 2 | 0 | 
3812 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | Sample Fraud Risk Assessment Framework #1 | 38 | 12 | Fraud Risk Assessment Fra | Fraud Risk Assessment Framework 2  Identified Fraud Risks an | 1 | 1 | 0 | 
3813 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | Identify What Activities Are the Most Vulnerable to Fraud | 11 | 13 | Identify What Activities | Identify What Activities Are the Most Vulnerable to Fraud  M | 2 | 2 | 0 | 
3814 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | RISK TO INFORMATION TECHNOLOGY | 48 | 14 | RISK TO INFORMATION TECHN | RISK TO INFORMATION TECHNOLOGY  Information technology (IT)  | 1 | 1 | 0 | 
3815 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | Access to People at All Levels of the Organization | 19 | 15 | Access to People at All L | Access to People at All Levels of the Organization  It is of | 0 | 1 | 0 | 
3816 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | Access to People at All Levels of the Organization | 19 | 15 | Leaders of a business or | Leaders of a business or function often have very different  | 0 | 1 | 0 | 
3817 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 13 — Corruption | 98 | 16 | MODULE # 13 — Corruption | MODULE # 13 — Corruption  • Bribery schemes involve the offe | 0 | 1 | 0 | 
3818 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 13 — Corruption | 98 | 16 | 1. Is there a company pol | 1. Is there a company policy that addresses the receipt of g | 0 | 1 | 0 | 
3819 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 13 — Corruption | 98 | 16 | 2. Is there an establishe | 2. Is there an established bidding policy? Organizations sho | 0 | 0 | 0 | 
3820 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 13 — Corruption | 98 | 16 | 3. Are purchases reviewed | 3. Are purchases reviewed to detect out of line costs?  Orga | 0 | 1 | 0 | 
3821 | Fraud Risk Assessment 22 | __________________ controls are designed to stop something bad from happening before it occurs, while _________________ controls are designed to identify something bad that has already occurred. | Preventive; detective | Detective; investigative | Investigative; detective | Investigative; deterrent | MODULE # 13 — Corruption | 98 | 16 | 4. Are purchases reviewed | 4. Are purchases reviewed to identify favored vendors?  Purc | 1 | 2 | 0 | 
